# File S4. Bacterial family Coracle output.,,,,,,,,,,,,,
,score,l1_rfr,l1_lasso_rfr,l1_alasso_rfr,l1_cfs_rfr,clr_rfr,clr_lasso_rfr,clr_alasso_rfr,clr_cfs_rfr,l1_lasso_coef,l1_alasso_coef,clr_lasso_coef,clr_alasso_coef
Phycisphaeraceae,8.9e-06,4.9e-05,0,0,0,0.00045,0,0,0,0,0,0,0
Desulfarculaceae,8.8e-06,0.00049,0,0,0,1.7e-05,0,0,0,0,0,0,0
Rubinisphaeraceae,8.7e-06,2.2e-10,0,0,0,0.00048,0,0,0,0,0,0,0
Veillonellaceae,8.6e-06,0.00031,0,0,0,0.00018,0,0,0,0,0,0,0
Reyranellaceae,8.4e-06,5.4e-05,0,0,0,0.00041,0,0,0,0,0,0,0
Mycobacteriaceae,8.3e-06,0.00039,0,0,0,8.9e-05,0,0,0,0,0,0,0
Desulfuromonadaceae,8.3e-06,0,0,0,0,0.00092,0,0,0,0,0,0,0
Ardenticatenaceae,8.2e-06,0,0,0,0,0.0009,0,0,0,0,0,0,0
Babeliaceae,8.1e-06,0.00011,0,0,0,0.00034,0,0,0,0,0,0,0
Bifidobacteriaceae,8e-06,2.9e-05,0,0,0,0.00042,0,0,0,0,0,0,0
Prevotellaceae,8e-06,3.1e-06,0,0,0,0.00044,0,0,0,0,0,0,0
Balneolaceae,7.6e-06,1.9e-07,0,0,0,0.00042,0,0,0,0,0,0,0
Family_XI,7.5e-06,5.3e-05,0,0,0,0.00036,0,0,0,0,0,0,0
Methylophagaceae,7.5e-06,0,0,0,0,0.00083,0,0,0,0,0,0,0
Paracaedibacteraceae,7.3e-06,4.1e-05,0,0,0,0.00036,0,0,0,0,0,0,0
Amoebophilaceae,7.2e-06,0.0004,0,0,0,1.3e-05,0,0,0,0,0,0,0
Family_X,7.2e-06,3e-10,0,0,0,0.0004,0,0,0,0,0,0,0
SS1-B-06-26,7.1e-06,6.6e-06,0,0,0,0.00039,0,0,0,0,0,0,0
Pseudohongiellaceae,6.9e-06,0.00036,0,0,0,3.2e-05,0,0,0,0,0,0,0
Fusobacteriaceae,6.7e-06,0.00028,0,0,0,0.0001,0,0,0,0,0,0,0
Bernardetiaceae,6.6e-06,0.00013,0,0,0,0.00024,0,0,0,0,0,0,0
Moritellaceae,6.3e-06,0,0,0,0,0.0007,0,0,0,0,0,0,0
BD2-7,6.1e-06,0,0,0,0,0.00067,0,0,0,0,0,0,0
Clade_III,6.1e-06,0.00023,0,0,0,0.00011,0,0,0,0,0,0,0
Tannerellaceae,5.9e-06,4.8e-06,0,0,0,0.00032,0,0,0,0,0,0,0
Spongiibacteraceae,5.6e-06,2.4e-07,0,0,0,0.00031,0,0,0,0,0,0,0
Rhodopirillaceae,5.1e-06,0.00026,0,0,0,3.6e-05,0,0,0,0,0,0,0
Hydrogenedensaceae,5e-06,0,0,0,0,0.00055,0,0,0,0,0,0,0
Longimicrobiaceae,4.8e-06,1.9e-05,0,0,0,0.00025,0,0,0,0,0,0,0
SM2D12,4.3e-06,0.00017,0,0,0,7.7e-05,0,0,0,0,0,0,0
Midichloriaceae,4.2e-06,4.6e-05,0,0,0,0.00019,0,0,0,0,0,0,0
Desulfonatronaceae,4.1e-06,9e-05,0,0,0,0.00014,0,0,0,0,0,0,0
Geminicoccaceae,3.9e-06,1.1e-05,0,0,0,0.0002,0,0,0,0,0,0,0
Nocardioidaceae,3.8e-06,0.00021,0,0,0,1.1e-05,0,0,0,0,0,0,0
Clostridiales_vadinBB60_group,3.7e-06,3.1e-05,0,0,0,0.00017,0,0,0,0,0,0,0
Microscillaceae,3.5e-06,0,0,0,0,0.00038,0,0,0,0,0,0,0
AKAU3564_sediment_group,3.3e-06,4.4e-05,0,0,0,0.00014,0,0,0,0,0,0,0
Hymenobacteraceae,3.2e-06,4.8e-06,0,0,0,0.00017,0,0,0,0,0,0,0
Nitrosomonadaceae,3.1e-06,4.8e-05,0,0,0,0.00013,0,0,0,0,0,0,0
Haliangiaceae,3.1e-06,2.8e-05,0,0,0,0.00014,0,0,0,0,0,0,0
Armatimonadaceae,3.1e-06,0,0,0,0,0.00034,0,0,0,0,0,0,0
Intrasporangiaceae,2.9e-06,8.7e-05,0,0,0,7.5e-05,0,0,0,0,0,0,0
Nitrospiraceae,2.6e-06,0,0,0,0,0.00029,0,0,0,0,0,0,0
Prolixibacteraceae,2.6e-06,5.5e-07,0,0,0,0.00014,0,0,0,0,0,0,0
Halobacteroidaceae,2.4e-06,0,0,0,0,0.00027,0,0,0,0,0,0,0
Hyphomicrobiaceae,2.4e-06,4.1e-05,0,0,0,9.1e-05,0,0,0,0,0,0,0
Promicromonosporaceae,2.3e-06,8.5e-06,0,0,0,0.00012,0,0,0,0,0,0,0
Rhodospirillaceae,2.3e-06,0.00013,0,0,0,5e-06,0,0,0,0,0,0,0
Fodinicurvataceae,2.2e-06,0,0,0,0,0.00025,0,0,0,0,0,0,0
Psychromonadaceae,2.2e-06,0.00011,0,0,0,1.5e-05,0,0,0,0,0,0,0
Desulfobacteraceae,2.1e-06,1.4e-05,0,0,0,0.0001,0,0,0,0,0,0,0
env.OPS_17,2.1e-06,1.1e-06,0,0,0,0.00012,0,0,0,0,0,0,0
Paenibacillaceae,2.1e-06,7.7e-06,0,0,0,0.00011,0,0,0,0,0,0,0
Clostridiaceae_4,2e-06,0,0,0,0,0.00023,0,0,0,0,0,0,0
Rubritaleaceae,2e-06,2.7e-10,0,0,0,0.00011,0,0,0,0,0,0,0
Rhizobiales_Incertae_Sedis,1.9e-06,4.7e-06,0,0,0,0.0001,0,0,0,0,0,0,0
Isosphaeraceae,1.7e-06,0,0,0,0,0.00019,0,0,0,0,0,0,0
Tepidisphaeraceae,1.7e-06,2e-10,0,0,0,9.2e-05,0,0,0,0,0,0,0
Polyangiaceae,1.6e-06,2.4e-06,0,0,0,8.8e-05,0,0,0,0,0,0,0
DEV007,1.4e-06,0,0,0,0,0.00016,0,0,0,0,0,0,0
Chlorobiaceae,1.3e-06,0,0,4.1e-06,0,4.4e-05,0,0,0,0,-1.80E-05,0,0
Thiohalorhabdaceae,1.2e-06,0,0,0,0,0.00014,0,0,0,0,0,0,0
Rickettsiaceae,1.2e-06,2.3e-05,0,0,0,4.7e-05,0,0,0,0,0,0,0
Leptospiraceae,1.2e-06,7.7e-08,0,0,0,6.7e-05,0,0,0,0,0,0,0
Gimesiaceae,1e-06,0,0,0,0,0.00011,0,0,0,0,0,0,0
Solimonadaceae,1e-06,4.2e-06,0,0,0,5.2e-05,0,0,0,0,0,0,0
Dermacoccaceae,1e-06,0,0,0,0,0.00011,0,0,0,0,0,0,0
Lachnospiraceae,9.7e-07,3.3e-06,0,0,0,5e-05,0,0,0,0,0,0,0
Solibacteraceae_(Subgroup_3),8.8e-07,6.5e-10,0,0,0,4.8e-05,0,0,0,0,0,0,0
Dermabacteraceae,8.1e-07,1.5e-05,0,0,0,3e-05,0,0,0,0,0,0,0
mle1-27,7.9e-07,3.8e-10,0,0,0,4.3e-05,0,0,0,0,0,0,0
NS11-12_marine_group,7e-07,8.9e-07,0,0,0,3.8e-05,0,0,0,0,0,0,0
Dysgonomonadaceae,6.2e-07,6.3e-07,0,0,0,3.3e-05,0,0,0,0,0,0,0
Christensenellaceae,5.9e-07,0,0,0,0,6.5e-05,0,0,0,0,0,0,0
Flammeovirgaceae,5.7e-07,2.6e-05,0,0,0,6.7e-06,0,0,0,0,0,0,0
Piscirickettsiaceae,5.2e-07,1.9e-10,0,0,0,2.9e-05,0,0,0,0,0,0,0
cvE6,5.1e-07,7.3e-06,0,0,0,2.1e-05,0,0,0,0,0,0,0
Streptomycetaceae,4.7e-07,5.2e-10,0,0,0,2.6e-05,0,0,0,0,0,0,0
EF100-94H03,3.9e-07,8.9e-08,0,0,0,2.2e-05,0,0,0,0,0,0,0
Blastocatellaceae,3.9e-07,0,0,0,0,4.3e-05,0,0,0,0,0,0,0
Sulfurospirillaceae,2.3e-07,0,0,0,0,2.5e-05,0,0,0,0,0,0,0
Planococcaceae,1.3e-07,3.7e-06,0,0,0,3.8e-06,0,0,0,0,0,0,0
Pasteurellaceae,1.3e-07,0,0,0,0,1.4e-05,0,0,0,0,0,0,0
Peptococcaceae,1.2e-07,5.4e-06,0,0,0,1.6e-06,0,0,0,0,0,0,0
Crocinitomicaceae,8.9e-08,0,0,0,0,9.8e-06,0,0,0,0,0,0,0
Azospirillaceae,3.9e-08,0,0,0,0,4.3e-06,0,0,0,0,0,0,0
Pedosphaeraceae,3.3e-08,0,0,0,0,3.6e-06,0,0,0,0,0,0,0
Aquaspirillaceae,1.4e-08,0,0,0,0,1.5e-06,0,0,0,0,0,0,0
