,Phylum,Class,Order,Family,Genus
ASV2081,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,
ASV2082,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
ASV2083,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,
ASV2084,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1
ASV2085,Proteobacteria,Alphaproteobacteria,Rhizobiales,,
ASV2086,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,
ASV2087,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
ASV2088,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
ASV2089,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens
ASV2090,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
ASV2091,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Oceanospirillum
ASV2092,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV2093,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
ASV2094,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV2095,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,
ASV2096,Proteobacteria,Deltaproteobacteria,Bradymonadales,,
ASV2097,Actinobacteria,Actinobacteria,PeM15,,
ASV2098,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola
ASV2099,Patescibacteria,Saccharimonadia,Saccharimonadales,,
ASV2100,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter
ASV2101,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,
ASV2102,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS_17,
ASV2103,Acidobacteria,Acidobacteriia,Subgroup_2,,
ASV2104,Planctomycetes,OM190,,,
ASV2105,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,
ASV2106,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudodonghicola
ASV2107,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
ASV2108,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter
ASV2109,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,
ASV2110,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides
ASV2111,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,
ASV2112,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,
ASV2113,Bacteroidetes,Bacteroidia,,,
ASV2114,Proteobacteria,Deltaproteobacteria,SAR324_clade(Marine_group_B),,
ASV2115,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polynucleobacter
ASV2116,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ideonella
ASV2117,Patescibacteria,ABY1,Candidatus_Magasanikbacteria,,
ASV2118,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter
ASV2119,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium
ASV2120,Proteobacteria,Gammaproteobacteria,,,
ASV2121,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Maricaulis
ASV2122,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
ASV2123,Dependentiae,Babeliae,Babeliales,,
ASV2124,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,
ASV2125,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
ASV2126,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV2127,Proteobacteria,Gammaproteobacteria,,,
ASV2128,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella
ASV2129,,,,,
ASV2130,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas
ASV2131,Proteobacteria,Gammaproteobacteria,,,
ASV2132,Proteobacteria,Alphaproteobacteria,Thalassobaculales,,
ASV2133,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis
ASV2134,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Alkalispirochaeta
ASV2135,Chlamydiae,Chlamydiae,Chlamydiales,cvE6,
ASV2136,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter
ASV2137,,,,,
ASV2138,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2139,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Silicimonas
ASV2140,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2141,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Maricaulis
ASV2142,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,
ASV2143,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
ASV2144,Chloroflexi,Dehalococcoidia,SAR202_clade,,
ASV2145,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium
ASV2146,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium
ASV2147,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
ASV2148,Planctomycetes,OM190,,,
ASV2149,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,
ASV2150,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,
ASV2151,Firmicutes,Bacilli,Bacillales,Bacillaceae,Sediminibacillus
ASV2152,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,
ASV2153,Dependentiae,Babeliae,Babeliales,,
ASV2154,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,
ASV2155,Actinobacteria,Thermoleophilia,Gaiellales,,
ASV2156,Gemmatimonadetes,BD2-11_terrestrial_group,,,
ASV2157,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
ASV2158,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Pseudohaliea
ASV2159,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Psychrosphaera
ASV2160,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Luminiphilus
ASV2161,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas
ASV2162,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Oceanobacterium
ASV2163,Proteobacteria,Gammaproteobacteria,,,
ASV2164,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
ASV2165,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV2166,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,
ASV2167,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,
ASV2168,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,Candidatus_Puniceispirillum
ASV2169,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,
ASV2170,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,
ASV2171,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium
ASV2172,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
ASV2173,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group
ASV2174,Planctomycetes,Phycisphaerae,Phycisphaerales,AKAU3564_sediment_group,
ASV2175,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2176,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter
ASV2177,Proteobacteria,Gammaproteobacteria,,,
ASV2178,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Saprospira
ASV2179,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia
ASV2180,Proteobacteria,,,,
ASV2181,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2182,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2183,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2184,Proteobacteria,Gammaproteobacteria,,,
ASV2185,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Maricaulis
ASV2186,Firmicutes,Bacilli,Bacillales,Bacillaceae,
ASV2187,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Oceanibaculaceae,Oceanibaculum
ASV2188,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,
ASV2189,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
ASV2190,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,
ASV2191,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Labrenzia
ASV2192,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,
ASV2193,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Temperatibacteraceae,Temperatibacter
ASV2194,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulforhopalus
ASV2195,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV2196,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,
ASV2197,Proteobacteria,Alphaproteobacteria,,,
ASV2198,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Rhodoluna
ASV2199,Actinobacteria,Acidimicrobiia,Actinomarinales,,
ASV2200,Proteobacteria,Alphaproteobacteria,Rickettsiales,SM2D12,
ASV2201,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,
ASV2202,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia
ASV2203,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,
ASV2204,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula
ASV2205,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2206,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,
ASV2207,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group
ASV2208,Patescibacteria,Gracilibacteria,JGI_0000069-P22,,
ASV2209,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter
ASV2210,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pseudorhodoferax
ASV2211,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Chitinibacteraceae,Deefgea
ASV2212,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio
ASV2213,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2214,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
ASV2215,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,
ASV2216,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,
ASV2217,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus
ASV2218,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Halobacteriovorax
ASV2219,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter
ASV2220,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Ammoniphilus
ASV2221,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium
ASV2222,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2223,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,
ASV2224,Cyanobacteria,Sericytochromatia,,,
ASV2225,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
ASV2226,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Neptuniibacter
ASV2227,Proteobacteria,Gammaproteobacteria,,,
ASV2228,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,
ASV2229,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,
ASV2230,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
ASV2231,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aureivirga
ASV2232,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter
ASV2233,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Parahaliea
ASV2234,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
ASV2235,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria
ASV2236,Proteobacteria,Gammaproteobacteria,,,
ASV2237,Planctomycetes,Planctomycetacia,,,
ASV2238,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aestuariivita
ASV2239,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2240,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2241,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,
ASV2242,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter
ASV2243,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter
ASV2244,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
ASV2245,Proteobacteria,Gammaproteobacteria,,,
ASV2246,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Mesonia
ASV2247,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,
ASV2248,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae_(Subgroup_3),Paludibaculum
ASV2249,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocella
ASV2250,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,C39
ASV2251,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas
ASV2252,Bacteroidetes,Bacteroidia,Bacteroidales,,
ASV2253,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1
ASV2254,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2255,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2256,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thioclava
ASV2257,Proteobacteria,Alphaproteobacteria,,,
ASV2258,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum
ASV2259,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,
ASV2260,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,Parvularcula
ASV2261,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV2262,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_4,Paramaledivibacter
ASV2263,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV2264,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus_2
ASV2265,Patescibacteria,Saccharimonadia,Saccharimonadales,,
ASV2266,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
ASV2267,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,
ASV2268,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Marinagarivorans
ASV2269,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Pseudomaricurvus
ASV2270,Proteobacteria,,,,
ASV2271,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,
ASV2272,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Halobacteriovorax
ASV2273,Proteobacteria,Deltaproteobacteria,Bradymonadales,,
ASV2274,Proteobacteria,Deltaproteobacteria,NB1-j,,
ASV2275,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Aurantimicrobium
ASV2276,Spirochaetes,Leptospirae,Leptospirales,Leptospiraceae,Turneriella
ASV2277,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia
ASV2278,Patescibacteria,Saccharimonadia,Saccharimonadales,,
ASV2279,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Algicola
ASV2280,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,Pelagibius
ASV2281,Proteobacteria,Alphaproteobacteria,Puniceispirillales,EF100-94H03,
ASV2282,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_III,
ASV2283,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV2284,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus
ASV2285,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_9
ASV2286,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,,
ASV2287,Chlamydiae,Chlamydiae,Chlamydiales,,
ASV2288,Chlamydiae,Chlamydiae,Chlamydiales,Chlamydiaceae,
ASV2289,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Gramella
ASV2290,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cribrihabitans
ASV2291,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2292,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella
ASV2293,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Actibacterium
ASV2294,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
ASV2295,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,
ASV2296,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-014
ASV2297,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,,
ASV2298,Proteobacteria,Alphaproteobacteria,Rickettsiales,,
ASV2299,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,
ASV2300,Chloroflexi,Dehalococcoidia,SAR202_clade,,
ASV2301,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV2302,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhizobacter
ASV2303,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Tepidimonas
ASV2304,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Candidatus_Methylopumilus
ASV2305,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,
ASV2306,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooctadecabacter
ASV2307,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas
ASV2308,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,
ASV2309,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,Sneathiella
ASV2310,Bacteroidetes,Bacteroidia,Cytophagales,Flammeovirgaceae,Flammeovirga
ASV2311,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,Parvularcula
ASV2312,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV2313,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV2314,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
ASV2315,Bacteroidetes,Rhodothermia,Balneolales,Balneolaceae,Balneola
ASV2316,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,
ASV2317,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium
ASV2318,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
ASV2319,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas
ASV2320,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV2321,Proteobacteria,Deltaproteobacteria,Myxococcales,bacteriap25,
ASV2322,Proteobacteria,Alphaproteobacteria,Parvibaculales,,
ASV2323,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Pajaroellobacter
ASV2324,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
ASV2325,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Thioalkalispiraceae,Thioprofundum
ASV2326,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus
ASV2327,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Planktosalinus
ASV2328,Proteobacteria,Alphaproteobacteria,Micavibrionales,,
ASV2329,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans
ASV2330,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,
ASV2331,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Nonomuraea
ASV2332,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Roseivirga
ASV2333,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium
ASV2334,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium
ASV2335,Acidobacteria,Blastocatellia_(Subgroup_4),Blastocatellales,Blastocatellaceae,Blastocatella
ASV2336,Proteobacteria,Deltaproteobacteria,SAR324_clade(Marine_group_B),,
ASV2337,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2338,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius
ASV2339,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Marinicella
ASV2340,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Saprospira
ASV2341,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV2342,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,
ASV2343,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02
ASV2344,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Actibacterium
ASV2345,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2346,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,
ASV2347,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
ASV2348,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,
ASV2349,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2350,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV2351,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Maricaulis
ASV2352,Proteobacteria,Alphaproteobacteria,Caulobacterales,Parvularculaceae,
ASV2353,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus
ASV2354,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium
ASV2355,Proteobacteria,Alphaproteobacteria,,,
ASV2356,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aureivirga
ASV2357,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
ASV2359,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Roseitalea
ASV2360,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Labrenzia
ASV2361,Proteobacteria,Alphaproteobacteria,,,
ASV2362,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens
ASV2363,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,
ASV2364,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Thiopseudomonas
ASV2365,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Oceanospirillum
ASV2366,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,
ASV2367,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Amphritea
ASV2368,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,
ASV2369,Proteobacteria,Gammaproteobacteria,Alteromonadales,,
ASV2370,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,
ASV2371,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas
ASV2372,Proteobacteria,Gammaproteobacteria,Cellvibrionales,,
ASV2373,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,
ASV2374,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,
ASV2375,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,
ASV2376,Proteobacteria,Deltaproteobacteria,Bradymonadales,,
ASV2377,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus
ASV2378,Actinobacteria,Acidimicrobiia,Actinomarinales,,
ASV2379,Actinobacteria,Acidimicrobiia,,,
ASV2380,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella
ASV2381,Actinobacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia
ASV2382,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter
ASV2383,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter
ASV2384,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter
ASV2385,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,
ASV2386,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula
ASV2387,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula
ASV2388,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,Candidatus_Rhabdochlamydia
ASV2389,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Silicimonas
ASV2390,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Dinoroseobacter
ASV2391,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter
ASV2392,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria
