,Phylum,Class,Order,Family,Genus
ASV0200,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudoruegeria
ASV0201,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella
ASV0202,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
ASV0203,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas
ASV0204,Proteobacteria,Alphaproteobacteria,Micavibrionales,Micavibrionaceae,
ASV0205,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV0206,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,
ASV0207,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Catenococcus
ASV0208,Proteobacteria,Alphaproteobacteria,Rhodovibrionales,Kiloniellaceae,Tistlia
ASV0209,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
ASV0210,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV0211,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,
ASV0212,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,
ASV0213,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
ASV0214,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Ferrimonas
ASV0215,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter
ASV0216,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter
ASV0217,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Halodesulfovibrio
ASV0218,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,
ASV0219,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV0220,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aureivirga
ASV0221,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter
ASV0222,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Labrenzia
ASV0223,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV0224,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas
ASV0225,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oleiphilaceae,Oleiphilus
ASV0226,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,Rubinisphaera
ASV0227,Epsilonbacteraeota,Campylobacteria,Campylobacterales,,
ASV0229,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,
ASV0230,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter
ASV0231,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Variovorax
ASV0232,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,
ASV0233,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,
ASV0234,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
ASV0235,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
ASV0236,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Maricaulis
ASV0237,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
ASV0238,Proteobacteria,Deltaproteobacteria,Bradymonadales,,
ASV0239,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter
ASV0240,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea
ASV0241,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter
